name,community
imes,2
台积电,2
郭明池,1
英伟达,1
中国台湾地区,1
黄仁勋,1
CoWoS-L的产能,1
台南市,1
美国,0
李文仪,1
本·布兰查德,1
摩根士丹利,1
哈什·查uhan,85
《巴伦》,85
AMD,5
AI处理器市场的份额,5
投资者会议,1
布莱克威尔的产量,1
布莱克威尔GPU平台,1
Blackwell处,1
魏哲家,2
根士丹利,1
CoWoS产能,2
芯片封装产能,2
数据中心业务,1
特朗普政府,0
特朗普,4
ASML,5
CNBC,1
苹果,5
帕特·盖尔辛格,3
吉娜·雷蒙多,2
雷蒙多,2
本土晶圆生产能力,0
中国,0
台湾,4
限制先进芯片的出口,0
先进芯片的出口,0
贸易战,0
科莱特·克雷斯,0
AI芯片,8
郭明𫓹,1
台南,1
定价能力,2
毛利率,2
C.C. Wei,2
唐纳德·特朗普,4
布兰·伯克维茨,86
《神奇顾问》,86
对中国,4
丹·艾维斯,5
关税对苹果的影响,5
微软,11
AI竞赛,0
科尔莱特·克雷斯,8
阿斯麦,14
荷兰,0
埃隆·马斯克,10
xAI,1
英国,6
Avantek,6
芯片封装能力,2
Hopper芯片,1
季度业绩电话会议,1
摩根大通,1
乌克,2
英特尔,3
重组代工业务,3
乌克兰战争,2
GPU 市场,2
市场研究公司IDC,2
Blac,1
罗伯特·桑德斯,2
台积公司,7
克利夫·阿斯内斯,35
AQR资本管理公司,35
拜登政府,7
人工智能能力,7
限制向中国,7
Dan Ives,1
台湾区官员,4
人工智能数据中心,1
伊朗,8
俄罗斯,10
人工智能技术,4
朝鲜,8
《金融时报》,2
台湾政府,8
电价,8
美银美林,1
肯格里芬,87
Citadel的持股,87
供应链合作伙伴,29
Monolithic,29
半导体,6
布拉德·史密斯,11
AI军备竞赛,11
《亚洲尼日基亚报》,46
蔡崇信,46
台湾科技会议,46
新一代AI装置的发展,46
唐纳,4
唐纳德·特朗,4
特朗普总统,4
德国,29
《芯片与科学法》,0
微软公司（MSFT）,8
谷歌,5
Veo 2,5
德意志银行,6
人工智能需求,2
秦思瑞,2
台湾主,4
华为,0
路透社,3
Sophgo,3
标普全球市场情报公司,2
AI 芯片,6
詹嘉宏,2
CoWoS封装产能,2
多元化劳动力的价值,2
墨西哥,11
非台湾或中国籍的员工,2
网络攻击,6
910B,3
王涛,6
贝佐斯,0
《台北时报》,4
福布斯女士,9
日本,9
Coatsworth,2
魏松,1
中国企业,6
大卫·津斯纳,3
收购OctoAI,1
云主导地位,1
中美科技争端,0
彭博社,7
习近平,12
乔·拜登,7
CNN,12
中国领导人习近平,12
杰弗里·赛勒,2
莫瑞斯·昌,2
芯片公司,0
贝恩公司,47
芯片短缺,47
《芯片法案》,4
苹果公司(AAPL),4
科图管理公司,52
菲利普·拉丰,52
投资者,5
北京,12
本土芯片产业,12
针对华为的贸易限制,0
法新社,0
台北政府官员,6
《大众机械》杂志,53
Advance,53
Advan,53
亚马逊,11
市场环境,4
"博通
博通",88
云和安全服务,88
全球扩张计划,3
亚利桑那州,6
三工厂综合体,6
国内芯片制造,2
瑞克·卡斯迪,7
水回收项目,2
AI繁荣的势头,5
特朗普关税,4
国会,4
布拉姆·伯科维茨,2
巴伦周刊,2
iPhone,7
bark,5
拉巴里,1
卢克·拉巴里,1
《亚洲交易室,1
亚洲交易室,1
马克·卢什钦尼,1
三星电子,6
韩国芯片制造商,6
高通收购英特尔,2
垄断监管机构,0
富士康,1
制造业,0
国内制造业,0
《芯片与科学法案》,4
OpenAI,3
约翰·马奇,1
《巴伦周刊》,1
全自动驾驶（FSD）,0
特斯拉,10
马克·扎克伯格,11
Russ Mould,2
出口禁令,0
投资人,2
沃伦·巴菲特,5
市盈率,2
人工智能泡沫的形成,2
迈克·约翰逊,4
废除《芯片法案》,4
共和党,4
芯片制造能力,3
汤姆·唐,5
丹·埃维斯,4
Alphabet,0
AI训练,0
新政府,3
特斯拉的股价,0
工业用户,8
出口管制,0
民主党议员,0
台湾经济部,2
NVIDIA,8
AMD的增长,8
张忠谋,2
全球贸易全球化,2
中国基带芯片设计公司,8
中国客户,2
中东,8
三星,3
罗杰·达森,2
与TSMC,2
《芯片和科学法案》,4
Lucid CEO,3
产能,2
反垄断监管机构,1
博通收购高通,1
积电,6
台湾联发科,1
收购,1
巴克莱,9
AI支出,9
英伟,0
克里斯·马科丹,1
投资,1
销售减少风险,1
2025年的营收预期,1
欧洲,9
麦肯锡公司,2
杰弗里·塞勒,0
《神奇乌合之众》,0
苏珊·弗雷,0
德克萨斯仪器管理层,0
收益电话会议,0
人工智能(AI)泡沫,2
Jim·塞默,5
马来西亚沙捞越,4
特朗普总统当选,4
韩国,0
日立制作所,12
印度,12
德·特朗普,4
美联储,13
杰罗姆·鲍威尔,13
商务部,2
升腾910B,3
芯片生产基础设施,3
Brad Lin,2
郭丽特·克雷斯,1
Blackwell,1
晶圆厂,8
Uberti,89
Etched,89
花旗集团,2
克利夫·阿斯尼斯,35
民生证券,8
分享,7
毛利率和定价能力,2
与人工智能相关的芯片,2
张建中,1
深圳,2
对华业务,0
刘元潮,6
"摩尔线程

摩尔线程",0
东龙飞,6
摩尔线程科技,1
赵小光,2
CFO罗杰·达森,5
我,3
芯片供应,0
库尔·西弗斯,12
中美关系,12
新加坡,8
Vanguard,2
NXP,2
政府,0
对中国出口管控措施,0
寒武,0
对中出口管控措施,0
寒武纪,0
基辛格,3
建立晶圆厂业务,3
帕特·基辛格,3
台湾积体电路制造公司,8
Jim Cramer,5
NVDA,3
瓦德·萨夫奥,7
彭博,7
贝隆·马斯克,7
克莱夫·阿森斯,35
迈克尔·舒尔曼,1
布莱克韦尔的产量,3
马里奥·莫拉莱斯,1
汤森路,1
掩膜更换”,1
布莱克韦尔,1
电动汽车(EV),10
马来西亚,0
拜登,7
波士顿咨询公司,2
江敏严,90
芯片生产计划,90
先进芯片封装能力,2
国际贸易全球化,2
出口管控,0
程庭芳,5
Lauly Lith,2
AI服务器策略,5
约翰逊,28
FTX起诉币安,28
r Olcott,91
可穿戴AI竞赛,91
FTX,28
阿基托·田中,5
阿里巴巴,0
销售活动,0
克里斯·米勒,54
《芯片战争》,54
凯蒂·克里尔,5
币安,28
芯片开发商,0
全球制造足迹,9
扩产布莱克韦尔,1
科尔莱特·克雷,1
日本投资银行,92
三井住友,92
黑韦尔处理器的产量,1
第一任特朗普,93
将华为公司,93
昌,1
先进封装产能翻倍,2
人们,94
AI,94
约翰·巴里德尔,3
台湾积电,3
18A工艺节点,3
克里斯托弗·米姆斯,5
米姆斯,5
克里夫·阿斯尼斯,35
创新,2
M4 Max芯片,2
推出M4 Pro,5
延期,8
高盛科技会议,1
中国入侵台湾,1
关于人工智能泡沫,2
台湾政策制定者,95
川普政府,95
川普,2
卡西迪,7
HLTH会议,1
AI创新,1
马来西亚沙捞越州,0
中国汽车制造商,9
高端芯片短缺,47
杰里米·鲍曼,96
《摩根街专栏作家》,96
台湾积电首席执行官,97
下一代机器人,97
水回收措施,3
本土芯片制造,3
中国贸易,4
对中国贸易,4
中芯国际,0
出口限制,0
先进封装生产产能翻倍,2
台风康妮,2
唐,0
海斯,9
地缘政治紧张局势,9
塞思·海斯,9
凯莉·福布斯,98
建立“人工智能网格”,98
特斯拉的股价上涨,0
潜在AI泡沫破灭,1
杰富瑞公司,2
投资者电话会议,2
生产良率,8
Rene Haas,2
Arm,2
Cramer,5
AI基础设施投资,5
晶圆代工厂,3
客户,14
苹果公司,2
制造更快芯片的技术,2
华盛顿分析团队,4
安杰洛·津诺,0
莫顿森,1
主权AI的需求,8
所谓主权AI的需求,8
蒂德·莫顿森,1
全球征收关税,1
巴尔的摩,1
潜在中国入侵,1
目前装机基数为15亿,1
中国市场,2
M4 Pro,2
《彭博商业周刊》,4
台湾经济部长,4
美台关系,1
收入预测,1
CNA,2
英特尔管理层,55
设备投资,55
高通,3
1.6纳米芯片,2
1.6nm芯片,2
博通,3
其制造工艺,2
股东集团,33
代工业务,33
SK海力士,8
韩国SK海力士,1
池泰完,1
周一,8
人工智能峰会,1
《华尔街日报》,0
Intel,5
晶圆代工业务,5
中央通讯社（CNA）,2
人工智能芯片需求,8
卡斯迪,7
哈里斯,4
主席,0
卡玛拉·哈里斯,4
台湾最高金融监管机构,0
台湾市场,0
尹锡悦,4
Greg Noh,4
全球裁员,6
李民熙,4
海力士,4
吉姆·克莱默,5
张文松,99
高NA极紫外系统,99
克里สเต诺·安蒙,100
英特尔的收购谈判,100
合并,4
Sam Alt曼,3
加拿大出版商,3
下一代人工智能的发展,3
Alt曼,0
新计算基础设施,3
国家安全,7
阿联酋,12
Vivek Arya,3
波士顿咨询集团,4
全球竞争,0
彭博新闻社,1
侯永清,1
林文贤,0
迪士尼,6
高端芯片的短缺,47
《芯片法》,4
harles Shi,2
特朗普批评《芯片法》,7
蒂姆·库克,5
苹果AI,5
俄罗斯总统,10
苹果AI的发布,5
拉冯特,3
伯克希尔哈撒韦公司,5
本土科技产业,5
Cambricon,5
卢克·拉哈里,1
拉哈里,1
中国芯片制造商,9
马克·卢什金尼,1
科尔特·克雷斯,1
布拉德·林,2
库克,5
中国AI公司,2
苹果智能的发布,5
字节跳动有限公司,50
成本,50
Amkor,9
《日经亚洲》,9
《商业时报》,2
胡硕山,2
GTC会议,1
Kevin Wang,5
梅拉尼娅·特朗普,4
选举夜派对,4
当选总统,4
《摩利 fie》,11
唐纳德·特朗普总统,4
CFO黄文德,2
Harlan Sur,5
Broadcom,5
Cassidy,7
与Reliance,1
Wipro,1
中国可能入侵台湾,3
德国北约军事基地,10
安全危机,10
波兰,10
地缘政治不确定性,10
耐克,0
销量,0
巴菲特,101
达美乐比萨,101
埃利奥特·希尔,0
约翰·唐纳霍,0
比尔·阿克曼,0
承诺,14
总统选举,4
《彭博社》,0
白宫,1
中国销售额将下降,2
瑞克·卡西迪,7
华为技术有限公司,6
台湾积电公司,0
全球数据中心,11
Jensen,1
中国AI企业,0
台湾周边地区,2
前总统唐纳德·特朗普,7
詹森·霍尔,3
韩国公司,3
消费业务,3
克里斯托夫·福凯,14
先进芯片制造能力,2
美光科技（MU.O）,3
iel Kim,3
内存芯片需求,6
西方政府,0
台湾地区设施,0
降息,13
贝索斯,11
2纳米先进芯片生产,2
贸易管制,2
台湾经济部门,2
杰夫·贝索斯,1
Gary Black,10
台湾主导美,4
乔·罗根,4
竞选集会,4
《自由时报》,2
JW Kuo,4
特朗普再次当选总统,0
高银 Jung,8
李在镕,3
朴槿惠,3
公司,3
进口关税,4
全年收入预期,2
股价,0
人工智能芯片设计公司,1
赖清德,0
中台关系,0
台湾的芯片,4
国内芯片供应,7
《乔·罗根体验》,4
克里斯蒂安·克茨施,2
全年收入展望,2
金武焕,8
国内芯片制造业,0
布雷特·西蒙斯,2
苹果人工智能的发布,5
马斯克,10
格雷格·布罗克曼,10
山姆·奥特曼,10
安德鲁·费尔德曼,36
苏茨克弗,10
伊利亚·苏茨克弗,10
欧盟,4
台湾进行贸易,0
北京访问,0
Needham,5
新冠肺炎疫情,2
新冠疫情,2
吉恩·蒙斯特,2
3nm芯片,2
J.T.黄,8
崔敏秀,8
物联网芯片业务,2
宁德时代,56
电动续航里程,56
艾莉森·奥洛克,2
人工智能服务器,5
越南,9
网络研讨会,5
赵长鹏,28
插电式混合动力车市场,56
凯蒂·克雷尔,5
拉乌莉·里哈,2
中国芯片设计客户,2
转型计划,3
桑达尔·皮查伊,5
盖尔辛格,3
托西亚·哈里,14
TSMC,2
人工智能芯片交易,3
重组计划,3
Jeff Bezos,0
人工智能的到来,32
市值增长,32
人工智能（AI）,32
荷兰首相,6
中国公司,6
计划,1
国内制造能力,2
康迪台风,102
基础设施,102
台湾的能源挑战,2
能源转型,4
曼德普·辛格,1
辛格,1
布莱恩·克瑞斯坦奇,3
新芯片的产量,3
中国军方,4
向中国公司,0
哈兰·苏,3
Google,26
谷歌TPU项目,3
固定资产和设备投资,55
高通收购Intel,2
代工厂业务,2
台湾地缘政治风险,3
台湾稳定性,3
"路透社  
路透社",2
向中国,0
三星高层领导者,12
亚当·普森,4
彼得森国际经济研究所,4
美光科技交易员,103
杠铃牛熊ETF,103
鲍勃·斯旺,3
帕特·格尔辛格,3
布莱恩·科兹亚克,3
商务部执行这些管制,4
民主党,4
伦敦证券交易所,57
RNS,57
RNS新闻服务,57
《摩根街坊》,5
埃里克·施密特,1
Sugiyama,104
Edgecortix,104
安东尼·斯卡马乔,105
加密货币监管,105
亚洲初创公司,1
软银与英特尔的谈判,1
新墨西哥州,3
鲍威尔,4
贝森,0
亚当·波森,4
等待最终协议的公司,4
中国政府,0
复苏,0
芯片需求复苏,0
限制对华芯片技术销售,0
华纳参议员,7
参议员,7
乔·拜登总统,4
长能力,1
拉赫贝里,1
卢克·拉赫贝里,1
马克·卢什辛尼,1
西川隆志,106
台积公司第三座工厂,106
机器人技术,1
2纳米芯片生产,7
彼得·温宁克,18
《环球时报》,18
马吉华,2
ASML的IT故障,18
芯片生产设施,0
法官,10
韩国AFW合作伙伴,20
融资,20
三星证券,20
加利福尼亚圣克拉拉,0
人工智能开发途径,0
吉姆·凯勒,20
播客业务,6
限制措施,3
阿灵顿石桥集团,107
保罗·特里奥,107
Apple,1
统一台湾”,12
人工智能芯片,0
Kazuo Ueda,108
周加息,108
关税和税制政策,0
经济增长,6
以色列,8
加沙地带,8
安库尔·班纳吉,13
通胀,13
美元,4
税制政策,0
企业,18
克里斯托弗·丹尼尔,3
爱尔兰,3
克里斯托夫·福奎特,0
Adam Posen,4
黄 CEO,1
英特尔18A工艺,109
服务器CPU业务,109
芯片需求的普及,5
马继华,2
彼得·温南克,18
先进芯片生产设施,4
CES科技大会,1
马尔克·华纳,4
耗时过长,3
克雷格·巴瑞特,110
盛顿,110
反垄断调查,7
生成式AI业务,1
施耐德,1
威廉·施耐德,1
CES 2025,1
百度,2
芯片业务,4
先进芯片设施,0
Adobe,4
AI营销初创公司,4
苹果公,2
苹果公司AA,0
对人工智能芯片需求,2
台湾央行,0
台积公司(TSMC),0
杨金龙,0
贸易惩罚,0
管理层,33
彼得·温尼克,18
陈俊哲,7
贸易全球化,7
违反禁令,3
高通公司,3
帕特·盖辛格,3
盖辛格,3
即将离任的政府,0
第一个特朗普政府,1
詹森·黄,10
新自传,3
辞职,5
赫伯特·盖尔辛格,5
大卫·金斯纳,5
芯片制造补贴,4
这一情况,0
乔·拉戈,4
CHIPS法案,4
废除CHIPS法案,4
美商务部,6
芯片法案”,4
汪阳,4
《第一财经》,4
海外企业,4
荷兰ASML公司,48
EUV光刻机,48
中芯国际（SMIC）,111
麒麟芯片,111
俄勒冈州,5
高NA EUV光刻机,5
史蒂芬·施瓦茨曼,1
收入购物者的财务状况,0
美联社,112
崔孝斯,112
就业市场,0
伊莱恩·库尔滕巴赫,113
GE航,113
特朗普连任,0
特朗普赢得选举,6
阳丙长,0
《乔·罗根播客》,4
新关税,4
阿斯麦发布,0
泰勒城工厂,3
该计划,4
吴政隆,7
亚利桑那工厂,2
德克萨斯州的设施,6
欧洲计划,7
阿斯麦的新技术,3
收购谈判,3
英特尔董事会,3
他的领导能力,3
现有控制的有效性,0
约翰·穆伦纳尔,2
华盛顿,12
马克·华纳,7
华纳,3
两家芯片开发商,3
前英特尔高管,5
林宝珠,5
Tan的离职,24
劳动力过剩,24
股东,5
Tan·林宝珠,24
安迪·格罗夫,3
晶圆生产能力,4
汉斯·莫泽曼,3
李·布·谭,3
弗兰克·耶瑞,3
彭博新闻,3
特朗普的言论,4
黄伟伦,2
AI加速器芯片,3
18A,3
“四年五节点”的计划,3
限制芯片技术销售,12
波森,4
谷歌中国,40
模型,40
中国人工智能公司,2
李开烽,40
01.ai,40
腾讯,58
李,0
百度（BIDU）,114
AI模型的成本,114
《经济日报》,2
摩根,2
第三方晶圆代工业务,3
特斯拉股价上涨,0
Nvidia,1
成本削减计划,3
雅虎财经,1
《开标》,3
苹果iPhone,7
中国人工智能企业,2
人工智能模型的成本,2
李开夫,0
AM,5
出口规则,0
UDN.com,8
高端芯片,0
深鉴科技,115
与华为有任何业务往来,115
Chang,7
吴部长,2
吴成文,2
Hindenburg,0
Supermicro,0
GPU业务,1
联发科,3
麦肯锡&公司,116
生成式人工智能,116
先进芯片制造,6
算能科技,2
日本传媒,2
日媒,2
Pfizer,4
知名芯片制造商,5
陈崇熙,7
全球扩张,7
第三座晶圆厂,2
芯片,5
Windsor,3
收购英特尔,3
英特尔的x86处理器,3
肯·格里芬,8
绿色能源和AI项目,4
台湾科技部,117
反对党,117
2纳米生产规模,7
台湾的飞机作战能力,0
2纳米工艺,2
工程师,0
出口管制规定,0
2025,3
北京政府,0
出口管制措施,0
超微电脑,1
阿姆科,9
晶圆封装和测试设施,9
苹果投资者,2
他领导能力,3
杰夫·金,3
台湾的地缘政治风险,3
RAJA,4
以色列的安全,4
KAILEY,4
关税,4
斯塔西·拉松,1
由英特尔,1
经济衰退,3
朱凤莲,0
中国台湾事务办公室,0
中国官方,0
台湾企业,0
芯片制裁,0
Elon Musk,10
AI 成本,50
Y.J. Mi,3
李正培,27
人工智能,27
胡克明,6
TSIA,6
秋部长,2
J.W. 秋,2
埃德·耶伦,118
盈利增长和盈利能力,118
产量,1
詹姆斯,8
晨星工程,8
辉瑞,8
弹吉他,8
托先生詹姆斯,8
黄总理,8
谢先生本杰明,8
黄凯伦,119
GPU本地化,119
高通与英特尔的谈判,3
大卫·舍帕登,7
拨款发放进度,7
格罗方德,7
卡伦·弗莱菲尔德,7
亚历山德拉·阿尔珀,6
货币政策周期,13
杰姆·凯勒,1
初创公司,1
Bloomberg,2
联邦政府,3
林·胡·谭,3
埃里森,1
克里斯托夫·福克特,0
东京电子,7
其2纳米技术的研发,7
集成扇出（InFO）,7
林次郎,4
苏贞昌,4
玛丽·特朗普,239
氯胺酮疗法,239
郭耀辉,3
极紫外光刻设备,6
停工,0
码头工人,10
罢工,10
苹果公司（AAPL）,4
台湾积电（TSM）,4
盖尔辛格的离职,3
道琼斯工业平均指数,1
特斯拉公司,1
Keller,1
加利福尼亚州圣克拉拉,20
人工智能开发路径,20
出口管制对中国,4
ASML发布,6
ogies),6
中国芯片发展,6
散户投资者,2
C轮融资,0
加利福尼亚州圣何塞,120
Recogni,120
三哩岛核电厂,11
民进党政府,9
《华盛顿邮报》,1
卓荣泰,9
福岛核电厂,9
安全,4
中国大陆,9
芯片厂电力需求,9
台湾民众,9
日本发生地震,9
民进党,9
关闭最后一个核电厂,4
核电,9
“芯片激励计划”,0
吴正文,2
阿罗亚,5
苹果（Apple）,2
谷歌出售Chrome,0
阿姆斯控股有限公司,3
美光科技公司（MU）,15
AI投资,15
丽莎·苏,11
康里台风,4
先进芯片,2
能源格局,4
代工厂,6
中企出口限制,0
中企,0
芯片初创公司,0
台湾的贸易,0
《亚洲尼基日报》,2
萧宪生,121
贝宾卡,121
台湾预报员,122
台风迦美,122
生成AI工具,1
信息技术产业协会,1
新拜登政府的规定,1
前特朗普政府,1
科技行业协会,1
新拜登政府,1
一些员工,2
《科创板日报》,2
《商业韩国》,2
新规遏制中国AI雄心,7
乔赛·纳西罗,123
其服务,123
实施广泛的进口关税,0
NJOY,0
Lisa Sube,5
Sube,5
AMD公司(AMD),5
关于台湾稳定性的言论,3
三星催化剂基金,124
Eliyan公司,124
《路透社》,59
Lucid首席执行官,59
安全性,2
沈启明,2
通过CHIPS法案,0
微软薪酬委员会,11
纳德拉,11
史蒂夫·鲍尔默,11
伯克希尔·哈撒韦,4
黄文达,2
抛售自家,10
布莱克威尔,1
《芯片法案》等政策,4
国内外扩张,7
丹·埃夫斯,1
勒布朗,1
中国网络安全协会,3
詹森·霍黄,1
杰恩·门斯特,4
对英特尔,3
搜索引擎巨头,4
芯片发布,1
中美贸易,3
Cerebras,36
加利福尼亚州桑尼韦尔,36
伊格尔金斯基,1
潜在的未来基金,1
Direxion,1
《侏罗纪公园》,4
美光科技有限公司,23
"耐克

特朗普",23
三星电子有限公司,23
交易,132
艾司摩尔,7
加州监管机构,10
监管者,10
SpaceX,10
新加密货币项目,4
新加密货币项目在发布,4
芯片生产,0
哈里斯副总统,2
拜登总统,7
芯片工厂,6
《财富》杂志,3
特朗普过渡团队,0
布雷特·西蒙普,2
陈永正,125
亚利桑那州晶圆厂,125
约翰·温,1
乌尔苏拉·冯德莱恩,9
新芯片工厂,9
恩智浦,6
ESMC,6
本地供应链,9
实施关税,4
乔·拜登政府,0
Hindenbur,0
瑞安·德特里克,3
《纽约时报》,7
谷歌和Meta等客户,1
Meta等客户,1
PC处理器市场,3
台湾积电（TSMC）,3
唐纳德・特朗普,0
帕特・基辛格,3
盈利能力,11
庄子寿,126
《TT》杂志,126
中国电动汽车价格战,0
汽车利润,0
2纳米生产产能,2
《CHIPS法案》,2
格尔辛格,3
大卫,3
格尔辛格的永久继任者,3
MJ,3
台湾央行行长,2
萨蒂亚·纳德拉,11
《亚洲尼基尼科》,4
埃吉金斯基,1
对墨西哥,11
埃迪·埃吉金斯基,1
AI技能培训计划,11
数字营销,11
AI热潮的势头,5
德拉瓦州法院,127
批准（2018 年）,127
汽车制造商,10
关于台湾稳定性,3
关于台湾稳定性的评论,3
林·布·坦,3
英特尔总裁,2
基辛格）,2
Arya,1
丹·艾夫斯,128
詹森·霍尔恩,128
台湾官员,8
关于AI泡沫的担忧,2
关于AI泡沫,2
俄亥俄州,3
谭,24
制造困境英特尔,5
游戏市场,1
ASML展望下调,6
里克·沙弗,1
AMD的AI活动,1
关于台湾地缘政治风险,3
台湾的技术保护法规,4
台积公司（TSMC）,0
中媒,2
中国媒体,2
中国台湾对峙,4
消防部门,60
Kaohsiung,60
陈菊,60
Huang,10
股票,4
限制中国芯片出口,7
山姆·阿尔特曼,36
加利福尼亚州桑尼维尔,36
卓以和,7
巴伦扎,2
Mac 用芯片的生产,0
蒂姆·格尔辛格,3
克里斯·麦克唐纳,1
华为创始人,0
郭建宏,2
软银,3
标普500指数,26
Hock Tan,129
AI服务,129
《信息》杂志,8
摩根士丹利团队,3
应用材料,3
John Vinh,1
研究机构,0
2纳米芯片,8
GAAFET架构竞赛,3
InFO收入,2
《信息时报》,0
三星代工厂,8
全球芯片产量,12
穆巴达拉,12
芯片生产商的盈利能力,12
阿布扎比,12
韩国三星电子,12
《华尔街日报》的报道,6
特朗,4
皮特森国际经济研究所,4
《芯片科学法案》,4
林·布·Tan,24
Tan,24
裁员人数,5
弗兰克·耶里,130
凯恩·坎恩,130
李伯图·坦因,131
盖尔辛,131
阿姆斯控股公司,3
三星HBM采购量,2
日本自民党,2
石破茂,2
许多人,2
美光科技,7
朗普,0
《商业周刊》,0
卡马拉·哈里斯,4
副总统哈里斯,4
人工智能竞赛,4
前总统特朗普,4
萨克斯,1
纳文·吉尔沙卡尔,61
《芯片2.0》,61
利润率,61
人工智能和量子计算,4
当地立法者,2
唐永年,2
新工厂计划,2
克里斯·卡索,3
戴维·津斯纳,3
英特尔的工厂网络,3
威尔森研究公司,3
英特尔的动荡,3
共和党同事,4
朱延民,3
ARK Invest,10
凯西·伍德,10
欧盟反垄断监管机构,132
高通与英特尔的会谈,3
克里斯坦诺·安蒙,3
中国一家政府,133
智库,133
Nvidia 高管,10
林·布鲁·谭,3
会谈,9
鲍勃·斯万,134
生成式AI模型,134
该公司,29
巴伦齐亚,3
丹·伊维斯,1
美中贸易战,3
弗兰克·叶瑞,135
帕特,135
俄勒冈州波特兰,136
英特尔代工服务,136
霍华德·马克斯,7
汉斯·莫塞曼,1
AI功能,5
大卫·B·约菲,0
詹姆斯·普拉默,0
VMware,3
查琳·巴尔舍夫斯基,0
莎拉·弗里,3
杰夫·贝佐斯,1
大卫·迈耶贝佐斯,1
加尔曼,0
人工智能芯片制造商,1
扎克伯格,1
“Delete A”,12
德国德累斯顿,6
IDM 2.0战略,3
亚太地区,6
台湾芯片制造商,2
比尔·麦克德莫特,8
该平台,8
芯片实施出口限制,0
阿里及百度,2
日本央行,13
利率,13
詹森·霍 (,1
拉里·埃伦斯,15
人工智能霸权之战,15
艾略特,16
计算机编程,16
AI“泡沫”,16
AI应用程序,16
一轮降息周期,13
人工智能交易,5
裴利希·李,7
台积公司扩大限制,7
总统大选,4
里克·斯科特,84
英特尔的裁员计划,84
高盛,0
杰米·戴蒙,1
宽松货币政策展望,13
洛杉矶,6
达美航空股价上涨,6
新的出口管制,0
达美航空,6
裁员,3
全面复苏计划,3
特朗普贸易政策,0
贸易关系,4
赫尔德·范德林德,62
台湾的高估值,62
香港股市,0
汇丰银行,137
这一势头,137
央行,5
他乐,3
弗兰克·叶里,3
卡伦·卡恩,3
美光,1
桑杰·梅赫罗特拉,1
泰勒市工厂,3
信徒,27
新一轮出口管制,0
习近平主席,12
英特尔的代工厂,3
人工智能资本支出,1
荷兰韦尔德霍芬,138
测试实验室,138
泰勒·斯威夫特,1
US,4
定制AI加速器,5
升腾 910C,0
NVDAs,0
Nvidia目标价,0
联想,41
AI Now,41
台湾外交部,0
法比安·志中·吴,4
联合国,139
北京对台湾,139
吴志中,0
加拿大,3
中国入侵,7
加拿大众议院,140
否决了中国政府,140
比尔·盖茨,141
推出了Windows,141
台湾中央银行,0
求职者,6
华硕,6
国泰世华,6
群联,6
台达电,6
国泰金控,6
AI 发展,6
金融科技,6
ESG 管理师,6
TSMC芯片,0
中国电信,0
